"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17190.1" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 6.0483560265218 2000 2000 171892
"17190.2" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 6.25363721809805 2000 2000 171893
"17190.3" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 5.95368351284035 2000 2000 171894
"17190.4" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 6.13864401039638 2000 2000 171895
"17190.5" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 6.06356557819994 2000 2000 171896
"17190.6" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 5.99859760864418 2000 2000 171897
"17190.7" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 5.8805077240443 2000 2000 171898
"17190.8" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 5.96065203051181 2000 2000 171899
"17190.9" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 5.76330630867247 2000 2000 171900
"17191" "Trapped by Malays" "The Passion for Life" "Fenn, George Manville" "Hocking, Joseph" 6.02402997752039 2000 2000 171901
"17191.1" "Trapped by Malays" "The Passion for Life" "Fenn, George Manville" "Hocking, Joseph" 6.14393763734979 2000 2000 171902
"17191.2" "Trapped by Malays" "The Passion for Life" "Fenn, George Manville" "Hocking, Joseph" 6.27370870248708 2000 2000 171903
"17191.3" "Trapped by Malays" "The Passion for Life" "Fenn, George Manville" "Hocking, Joseph" 6.08151404875856 2000 2000 171904
"17191.4" "Trapped by Malays" "The Passion for Life" "Fenn, George Manville" "Hocking, Joseph" 6.16304560515245 2000 2000 171905
