"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"22813.6" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 6.09852114802529 2000 2000 228127
"22813.7" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.8020534984579 2000 2000 228128
"22813.8" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.96021699201123 2000 2000 228129
"22813.9" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.75627950379298 2000 2000 228130
"22814" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 5.93335836322838 2000 2000 228131
"22814.1" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 5.90233302375841 2000 2000 228132
"22814.2" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 6.06636940156604 2000 2000 228133
"22814.3" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 5.60963504320871 2000 2000 228134
"22814.4" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 6.01162128740952 2000 2000 228135
"22814.5" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 5.81821519076108 2000 2000 228136
"22814.6" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 6.08048740075806 2000 2000 228137
"22814.7" "Fairy Gold" "Remember the Alamo" "Jacobs, W. W. (William Wymark)" "Fehrenbach, T. R." 5.98184388790527 2000 2000 228138
